IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Engages Imagination,1,P8,11, Did you imagine a force between your hands?,They imagine a force in the form of strings connecting their palms,"""Imagine a force like their palms are connected by strings""",Spontaneous GDF
,1,P8,15," So when I close my eyes, I just like saw a bunch of strings like... yeah, I don't know. It's just weird.",,,
,1,P8,17," Were the strings on the fingers as well, or just on the palms?",,,
,1,P8,18, Here. [gestures to palms],,,
,1,P8,22, And you could imagine the strings by that point?,,,
,1,P8,23, Yeah. Yeah. By that point.,,,
,1,P8,24, It wasn't immediately after I closed my eyes it was like a few seconds in.,,,
,1,P8,27, And then the strings kind of came to you did it?,,,
,1,P8,28, Yeah.,,,
,3,P8,38," Would you say back in time is behind you, and that's why you were looking behind?",They were rewinding time to engage in memory,"""Went back through their memories""",Relived memories
,3,P8,39, I was rewinding time. Yeah.,,,
,3,P8,3," I was looking at a bunch of videos yesterday, like I was just drumming up memories. And I was like, I really was stuck on a birthday video of my grandfather.",They engaged in past memories,"""Experienced old memories""",
,3,P8,26," Immediately after you said, like happy birthday, the song I saw. Yeah, it just.",,,
,3,P8,27, Watching the memory from like the back,,,
,3,P8,4, so it made me like I saw the full image in my head like the video.,This describes the rich imagery that the participant saw,"""Explicitly saw their memories""",
,3,P8,5, I saw it like I was there. ,,,
,3,P8,6, It wasn't just the recording like I was there.,,,
,3,P8,7, and everyone was singing,,,
,3,P8,8, like everyone was gathered up so I like could hear everyone,,,
,3,P8,28," Like it was so like far. I don't. It's fine. It's weird to explain, because it was here. It was like here. [gestures behind head]",They associated memory with spatial regions on their head,"""Associated memory with spaces on their head""","""Associated imagery with spaces around them"""
,3,P8,29," Yeah, it wasn't like this. [gestures in front of face] It was like this. [gestures behind head] It was like, here.",,,
,3,P8,30," Yeah, but I could see it,",,,
,3,P8,31, but I felt like it was like pushed back like this. [gestures behind head],,,
,3,P8,32," Oh, yeah, my eyes were like. [gestures to mimic eyes looking up and behind]",,,
,3,P8,33, That's why it felt weird.,,,
,3,P8,40, Watching my memory.,,,
,3,P8,36, I went back in time to like look at it like when my I felt like I was looking at it like this. [gestures to mimic eyes looking up and back],Associated imagery with space,"""Associated imagery with spaces around them""",
,3,P8,37, Both my eyes. My eyes were like flipped backward.,,,
,3,P8,41," But then over the course of it, as I was counting up that then came around you?",,,
,3,P8,42," Yeah, it was all over.",,,
,3,P8,13, but I could still see the... like what was happening.,Associated strength of imagery  with volume,"""Strength of image depended on volume""",
,3,P8,14," When the volume was like at its lowest, it was like at the back of my head,",,,
,3,P8,15, like it was really small.,,,
,3,P8,16," As it got like becoming louder, I could like see it more clearly,",,,
,3,P8,17, and it was the image was bigger.,,,
,3,P8,18," And it was like the background was like all black,",,,
,3,P8,19, and there was this like tiny memory here. [gestures hand with fingers curled in front of face],,,
,3,P8,20, as the volume increased like it was like all over my. [gestures hands widening],,,
,3,P8,21, Like it was louder.,,,
,3,P8,22,"It was like easier at level one and level 3,",,,
,3,P8,34, Would you say the video was all around you?,,,
,3,P8,35, At the end. Yeah.,,,
