IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Engages Imagination,1,P9,6," But then, as I kind of like, really kind of started to imagine it towards the end that it was feeling very strong.",They describe imagining the effects of magnets,“Imagined magnets”,“Created GDFs in support of the suggestion”
,1,P9,10,"like I said, like, as soon as we kind of started talking. I did kind of fill up the inclination to like sort of like when you hold 2 magnets kind of close together, you know.",,,
,1,P9,11, Like kind of that strange sensation you get.,,,
,1,P9,12,"But it's almost like, actually, you know, like, when you can like get 2 kind of magnets of the same pole.",,,
,1,P9,13," You can push, try, and push them together. You kind of feel that kind of like force between them.",,,
,1,P9,65," But no, the only real sensation I was really, really strongly aware of was that kind of magnetism.",,,
,1,P12,2," I was kind of imagining like magnets, I guess.",They report imagining  a magnetic force between their hands,"""Imagined a magnetic force""",
,1,P12,5, and... it did feel as though there was some kind of heaviness,,,
,1,P12,6," or like force,",,,
,1,P12,7," as in to heaviness,",,,
,1,P12,8, sort of towards each other.,,,
,1,P12,9, but not like... not massively.,,,
,1,P12,14," and then and then, when I was trying to think about it more about like when you kept saying closer and closer.",,,
,1,P12,15, I kept trying.,,,
,1,P12,16, Then I sort of focused on the magnet... idea.,,,
,1,P12,17," And then I started feeling it more strongly,",They report feeling a magnetic force between their hands,"""Felt magnetic force between hands""",
,1,P12,18," and they felt a bit more like... tingly, a little bit.",,,
,1,P12,28," I think magnets was the first thing I thought of,",,,
,1,P12,29," because it seems more obvious, I suppose.",,,
,1,P12,31, And then maybe kind of yeah hopped between the two.,,,
,1,P12,37," So with the magnet concepts was that static, or did that get stronger as well?",They report the force being static.,"""The magnetic force was static""",
,1,P12,38, I think... that was more so static.,,,
,1,P12,39, That's kind of what started it.,,,
,1,P12,42, I guess I was just sort of thinking back to it... to try it maybe,,,
,1,P12,43, I think I was quite conscious of like... choosing one if that makes sense.,,,
,1,P12,44," But yeah, I think the magnet thing wasn't massively... like influential.",,,
,1,P12,59, Whereas with the magnets I couldn't as much,,,
,1,P12,64," And with the magnets is that similar? The hands are there and the magnets are there, or is that different?",,,
,1,P12,65, I think I could just sort of visualise my hands and not really much else,,,
,1,P12,66, because it. Maybe it's not a visual.,,,
,1,P12,67, I was imagining them inside my hands so I couldn't see them. Yeah.,,,
,1,P12,19," Yeah, I also imagined like a -- I don't really know how to describe it. -- Kind of like air like wind.",They imagined an attractive force in the form of wind,"""Imagined a wind-like force""",
,1,P12,20, Sucking my hands together.,,,
,1,P12,22," and kind of sucking them like together,",,,
,1,P12,26, Did the wind replace the magnets?,,,
,1,P12,27," Yeah, I think I sort of hopped between the two.",,,
,1,P12,30, And then I kind of thought about... the the kind of wind thing afterwards.,,,
,1,P12,32, But I'd say mostly once I thought of the wind thing. It was more that that felt more. I could feel it more.,,,
,1,P12,34, So that was more powerful as a concept?,They felt the wind stronger than magnets,"""Felt wind-force to be stronger than magnet-force.""",
,1,P12,35," Yeah, I think so.",,,
,1,P12,54," So when you mentioned the concepts of the magnets and the wind, are they things that you could see in your mind's eye?",,,
,1,P12,55," Yeah, more so the wind thing,",,,
,1,P12,58, because I felt like I could kind of visualise that happening like in front of me.,,,
,1,P12,60," And when you were visualising the wind, were you also visualising your hands?",,,
,1,P12,61," Yeah, I think so. I can sort of see it. The whole thing.",,,
,1,P12,62," I can see my hands in front of me, and then that kind of coming up.",,,
,1,P12,63, Through the middle.,,,
,1,P13,11," And then I asked you to imagine or think about force acting on your hands. Did that conjure up any any images, any pictures?",They imagined strings attached to their hands,“Imagined strings attached to hands”,
,1,P13,12, Yeah.,,,
,1,P13,13," So I kind of when you said a force bringing my hands together,",,,
,1,P13,14, I kind of thought of like a string kind of pulling them towards each other.,,,
,1,P13,15," Okay, and the strings kind of attached to your hands?",,,
,1,P13,16, Yeah.,,,
,1,P13,17," So like, there was like... I guess, like, I kind of thought of... another string kind of pulling those two strings together,",,,
,1,P13,18, like tightening it.,,,
,1,P13,19, which is what made me...,,,
,1,P13,20, visualise them actually closing together.,,,
,2,P8,14," and like some strings as well, but, like, you know, like the strings you get from when you like, put glue on your hands. Like these strings. [gestures hands coming together and moving apart multiple times]",They talk about imagining their hands being held together by strings.,"""Imagined their hands kept together by a force""",
,2,P8,15, Right. So there was kind of a glue between your hands?,,,
,2,P8,16, Yeah.,,,
,2,P8,17, Strings like a bunch of strings.,,,
,2,P8,18, Holding my hands like this. I just got seeing like... strings.,,,
,2,P8,19, And the strings were holding your hands together then I guess?,,,
,2,P8,20," Yeah, I think, yeah.",,,
,2,P12,25," Yeah, first thing I sort of... thought was like a... again, kind of similar like suction.",They imagined suction,“Imagined suction”,
,2,P12,29," and then, as it went on, I was imagining-slash-feeling kind of almost like chewing gum or honey,",They imagined something sticky between their hands,“Imagined something sticky”,
,2,P12,30, or something like I could almost see something sticky that was like,,,
,2,P12,31," or glue, maybe",,,
,2,P13,19," Yeah,",They felt a force holding their hands together,"""Imagined a force holding their hands""",
,2,P13,20," I kind of... when you kept talking about them getting sticky, like,",,,
,2,P13,21, I kind of just thought about them.,,,
,2,P13,22," You know... -- I'm trying to find the right word kind of like, -- you know, like octopi,",,,
,2,P13,23, like the suckers they have on the bottom of their tentacles that allow them to move around.,,,
,2,P13,24, That's kind of what I imagined my hands were kind of getting.,,,
,2,P13,35, Did you imagine the suckers and then feel it getting sticky? Or did it feel sticky and then you imagined the suckers?,,,
,2,P13,36," I imagined the suckers,",,,
,2,P8,6, I just like saw my hands [gestures hands together] in a black and white picture in my head.,They talk about imagining their hands together.,"""Imagined their hands together""",
,2,P8,7," I just saw them,",,,
,2,P8,13," Yeah, it was just I just had like this black and white image of my hands, [gestures hands parallel]",,,
,2,P8,30, Was there anything else that you remember seeing? Pictures or anything like that?,,,
,2,P8,31, No. It was just my [gestures to hands],,,
,2,P8,32," yeah, like this part here, like. [gestures to hands and just above the wrist]",,,
