IDUs,“Putting hands out”,,“Imagining a force”,,“Felt hands being attracted together”,,“Hands moved”,,“Surprised by hand movement”,,“Tried to stay in their head”,,“Became conscious of experimenter speaking”
Hinge,,Suggestion instructs to imagine a force,,Imagination causes feeling of attraction,,The feeling of attraction becomes movement,,Reflecting on movement,,Continues to imagine,,Became distracted by the experiment,
