IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
,2,P4,41, and then I allow:::ed... then to see what came out from my mind.,They talk about letting their mind generate the imagery,“Allowed mind to generate imagery”,
,2,P4,66," Are you engaging with your body and your skin, and the feelings? Or are you engaging with the imagined world where your hands are stuck, or is it kind of both?",They talk about engaging with both their senses and their imagined world,“Engaged with both senses and imagined world”,
,2,P4,67, It's both.,,,
,1,P4,4," Hmm. Let's see... okay, I think, like... when you engage with your imagination... right? It's a... for me::... sort of things become transparent.",They talk about things becoming transparent,“Imaginary world is transparent”,“Imaginary world looks different”
,1,P4,5," So like, like this sort of a silver lining round.",They talk about things having a silver lining,“Imaginary world items have a silver lining”,
,1,P4,19, Everything around and... in a silver lining space.,,,
,1,P4,16, because it sort of changed the colours.,They talk about how the colours are different,"""Imaginary world colours are different”",
,1,P4,17," Imagination, right... the colour of the things around, right.",,,
,1,P4,20, So there is a difference; it's not completely exactly how you see it. Right.,They talk about how the imaginary world looks different to the real world,“Imaginary world looks different”,
,1,P4,6," So images become very, very... more in more, in tune... with this, with sensitivity.",They talk about images becoming in tune with sensitivity,“Images become in tune with sensitivity”,
,1,P4,12," Yeah, it's very real. It's real.",They talk about the imaginary world being real,“Imaginary world is real”,
,1,P4,48, And would that extend to things like vision and hearing and things?,They talk about other senses being heightened,“Heightened senses”,
,1,P4,49," No, everything like, I think, like hearing... it amplifies as well... right.",,,
,1,P4,50," Feeling most of anything, because he's a distant thing, right?",,,
,1,P4,51," Visual, it becomes sort of an internal eye.",,,
,1,P4,7," You sort of engage with that sort of world of not using your visual perception, for me [gestures to self].",They talk about engaging with the imaginary world through touch,“Seeing with skin”,“Change in perspective”
,1,P4,9, I it. It's more like a feeling.,,,
,1,P4,10," It's it's it's it's very sensorial, right? So it's like seeing with your skin.",,,
,1,P4,52, It's like you see with your skin... Right.,They talk about metaphorically seeing with their skin,"""Seeing with their skin”",
,1,P4,53," And yeah, i i i think more than because you're not using your eyes.",,,
,1,P4,54, But you are using your eyes.,,,
,1,P4,55," Yeah, or the visual part of your brain.",,,
,1,P4,56," Yeah, inside, right?",,,
,1,P4,27," Yeah, you see it, you see it, but from a different sort of perspective.",They talk about a different perspective,“See from a different perspective”,
,1,P4,31,1st 1st person like,They talk about a first person perspective,“First person perspective”,
