IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Felt Effect,1,P1,39, And I was just really like focused on that [the feeling of magnets].,They talk about focusing on the feeling of magnets,“Focus on the feeling of magnets”,“Engage with the suggestion”
,1,P1,34," While I was giving you the exercise, what was kind of going through your mind then? So after that moment and your your arms were out here [gestures], and you, you said you sort of started to feel them kind of pulling.",They talk about feeling their hands being pulled together,“Feel hands pulling”,“Feel suggested effect”
,1,P1,35, Yeah.,,,
,1,P1,48, It. It wasn't. It wasn't like a mental image. It was more like the sensation of my hands being pulled...,,,
,1,P1,51," No, okay. How did you feel about it when your hand started to, when you start to fill that pull?",,,
,1,P1,52," Erm::..., firstly, I didn't really like I was like, Oh, this is fine,",,,
,1,P1,38, and it was more like... I don't know it. It just kind of felt almost like like magnets or something...,They talk about how their hands moving felt like magnets,"""Felt like magnets""",
,1,P1,49," was like, if you would. Erm, is it like if you were holding two magnets? And then like, and they were just [simulates hands holding magnets coming together]",,,
,1,P1,50," But yeah, that was that wasn't like an image of magnets in my mind, or anything.",,,
,1,P2,6," And then I felt like if there was like a string or something between them. Yeah, like bringing them together. -- How much my hands actually move? --",They talk about feeling a string pulling their hands together,“Felt a string pulling their hands together”,
,1,P2,12," And so you mentioned a string. Is that something you were, you were seeing in your imagination?",,,
,1,P2,13," No, I kind of just feel it.",,,
,1,P2,14," Okay. And how do you feel that? Do you feel something stuck to your hands, or pulling at your hands, or?",,,
,1,P2,15," Um::... yeah. Well, it was more like in the palms of my hands.",,,
,1,P2,16," Just like, yeah, this force like, bring them together.",They talk about a force bringing their hands together,"""Felt a force pulling their hands together”",
,1,P2,17," And that was from from the inside of your hands, as opposed to pushing, so pulling rather than pushing?",,,
,1,P2,18, Yes.,,,
,1,P2,23," but yeah, 'cause I felt it. I didn't really feel it between my hands, really, at the start.",They talk about not feeling the force at the start,“Did not feel force at the start”,
,1,P2,24, but then I did like. Towards the end.,They talk about being able to feel the effect more,“Could feel it more”,
,1,P2,27," Okay. So at the beginning, do you think that you didn't really believe it? And then, more towards the end, you believed it more.",,,
,1,P2,28," Yeah, well, I could feel it more.",,,
,1,P2,33, But then I started feeling the pull in more.,,,
,1,P2,35," Okay. And you're aware of the actual movement. So okay, so they were moving. And the force was more powerful as it went on, right?",,,
,1,P2,36, Yeah,,,
,1,P4,21," Sort of you feel... the around, and you feel the skin of your hands coming together right or trying to come together in your... you. You're it. You feel the pull, but also you're trying to resist the pull, right.",They talk about feeling their hands pulling together,“Feel hands pulling together”,
,1,P4,22," Because naturally to me::: they start coming together. I don't know if they did or not, but they want to come together.",,,
,1,P4,61,I think they were moving. I think they were moving. I think they were. If I'm correct... they were like maybe 5 cm apart... is what I thought.,,,
,1,P6,3, So you really felt the effect then?,They talk about feeling the effect strongly,“Really felt the effect”,
,1,P6,4, Yeah.,,,
,1,P6,15, Erm:: It felt a bit strong.,,,
,1,P6,5, They almost moved.,They talk about feeling that their hands almost moved,“Hands almost moved”,
