IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
,2,P1,3," Er, it was, I could definitely still move my hands a little bit",They talk about being able to move their hands a little,“Could feel the hands move”,
,2,P1,28," So I could kind of I don't know, and they were. I could feel them move against each other a bit.",,,
,2,P1,29, Right and so do you think that awareness of the tactile feeling kinda affected how you were thinking?,,,
,2,P1,30," I think so. Yeah, I would definitely say so, because... it I don't know. It was just more... I could. I could just feel more. I don't know.",,,
,3,P4,2, I heard it.,They talk about hearing the song,“Heard the song”,
,3,P4,28," I could hear it, but more like a like a whisper.",,,
,3,P6,9," But either way, I've just heard it.",They talk about being able to hear the song,“Heard the song”,
,3,P6,10," Yeah, if it was like playing next to me.",,,
,3,P6,20, Just like a soundtrack like they expected normal English at the beginning. Soundtrack.,,,
,3,P4,4, Some some voices clearer than other.,They talk about hearing different voices singing,“Heard different voices”,
,3,P4,16, More that the voices of people I love. For example.,,,
,3,P6,18," Erm::... Actually, I did where? Because I'm also like half [other nationality], and we have, like that kind of like [other nationality], also music like happy birthday, so it can also my mind in [other language].",They talk about also hearing a similar song in another language,“Heard similar song in another language”,
,1,P4,63," Yeah, I felt I felt the stuff moving... right, because it's very difficult to control.",They talk about the movement being difficult to control,“Movement is difficult to control”,“Felt involuntary”
,1,P4,64," But I tried to receive. And I they weren't that hot. They weren't that close. I know they weren't that close, but I know they moved. I know that.",,,
,1,P1,7," but it wasn't... a conscious choice, and even though I wasn't like resisting it,",They talk about not being consciously aware of causing the suggested behaviour,“Not a conscious choice”,
,1,P1,8, it wasn't like I was... trying to... put my hands together. If that makes sense.,,,
,1,P5,21.2,but it didn't feel very voluntary.,They talk about the movement not feeling voluntary,“Doesn’t feel voluntary”,
,1,P5,22," so it didn't feel like weird that they were like, Oh, my God!",,,
,1,P5,23," But it's slowly. Yeah, it felt like.",,,
,1,P5,25," So... yeah, it didn't feel very voluntary, but didn't feel weird in a way.",,,
,1,P5,34," And if you did want to stop it from happening, do you think you could have done?",,,
,1,P5,35," I guess if I tried really hard. Yeah, I'm not quite sure.",,,
,2,P6,6, It felt like if there was like a glue... on this part [gestures to base of hand] and my fingers especially,Talks about feeling glue on their fingers and base of hands,“Felt glue on their fingers and base of hands”,
,2,P6,19," Um... I mean, when you said I have to do that... I just felt like they were automatically sticking. I wasn't actually making the effort.",They talk about their hands sticking automatically,“Felt hands were automatically sticking”,
,2,P6,20.2,"but... in terms of like sticking them together, I don't think so, It's just automatic.",,,
,2,P6,22.2,but in terms of sticking them it was like automatic.,,,
,2,P6,23, So it didn't really feel like you were doing much to keep them stuck?,,,
,2,P6,24, Yeah.,,,
,1,P1,6, it was... almost like when I was... like I could feel that my hands were getting closer together,They talk about feeling their hands getting closer together,“Feeling hands getting closer”,
,1,P2,5, but then I actually did when you were like reading it. Um...,They talk about feeling their hands moving,"“Hands moved""",
,1,P2,8," Yeah, I could feel them moving together...",,,
,1,P2,19," So there was a moment when they hadn't moved, and then they started moving. Were you were you aware of that kind of moment when that happened?",They talk about their hands moving from the start,“Hands moved from the start”,
,1,P2,20, No,,,
,1,P2,22," I thought they were kind of moving since the beginning, like it definitely got stronger as it went on.",,,
,1,P2,32, At the start. I felt like they were moving a bit.,,,
,1,P2,34, And then I think that's when they moved more.,They talk about their hands moving more,“They moved more”,
,1,P5,18," While your hands were moving, were you aware of them moving?",They talk about being aware of their hands moving,“Aware of hands moving”,
,1,P5,19, Yes.,,,
,1,P5,21.1," It... It felt natural that they were moving together,",,,
,1,P5,28, they didn't. They didn't feel very static.,,,
,1,P5,24," because also every now and again my, I felt my fingers like twitch. But I think that kind of like moved them closer together.",They talk about feeling their fingers twitch,“Fingers twitch”,
,1,P5,6, Did you feel in touch?,They talk about their hands not touching,“Hands did not touch”,
,1,P5,7," No, they were like this far away when you said [makes similar gesture] okay.",,,
,1,P5,9," I missed [gestures again but with thumbs not touching, but instead overlapping so they look like they are touching]. Yeah, I must have done that.","They talk about their hands missing each other, implying they would have touched if they had been correctly aligned","""Hands missed each other”",
,3,P4,17, And so were you consciously aware of making those voices?,They talk about the sound happening automatically,“Song played automatically”,
,3,P4,18," No, they came to my mind.",,,
,3,P6,14," Just popped... yeah, automatically... literally popped in my ear.",They talk about the song playing automatically,“Song played automatically”,
,1,P1,37," Erm, I had like definitely more like... I felt like I had that more sense of feeling like in my hands...",They talk about their hands feeling different to normal,"""Hands feel different""",“Felt sensations in arms and hands that weren’t suggested”
,1,P1,40," Okay, so in terms of the sense of feeling in your hands, are you saying that you're kind of more aware of your hands, or you're more focused on them than you would normally be?",,,
,1,P1,41," Erm:: Yes, definitely like more and more aware and more focused on the sensation.",,,
,1,P1,42," But um... but even like with my hands now, I don't like it, doesn't... it's just different. [looks at hands]",,,
,1,P1,43," Like I. It's because I'm:: like, I just look at my hands now [raises hands] as like the rest of my part of my body, but it was more like I was only feeling my hands. If that makes sense.",,,
,1,P1,44," It was that... that was all. That was all, I was focused on.",,,
,1,P1,46," Erm, they definitely felt like a little bit warmer, and maybe a bit... like heavier.",,,
,2,P4,12.2,"So you are. It's very hot, right?",They talk about their hands feeling hot,“Hands feel hot”,
,2,P4,16, Yeah. Really hot.,,,
,2,P4,29," They came together, they merged together, they become like [inaudible] warmer, super warmer.",,,
,2,P4,31," Very nice, very cozy.",,,
,2,P4,33.2,but it became warmer and warmer.,,,
,2,P4,70.3," you feel the the heat that comes beneath side,",,,
,2,P6,3," Yeah, it's just like I felt like the heat and stuff. Yeah.",Talks about the hands feeling hot,,
,2,P6,7, Erm:: and it was kind of hot.,,,
,2,P4,13," It's a bit sweaty, clammy.",They talk about their hands feeling sweaty,“Hands feel sweaty”,
,2,P4,33.3,"Sweatier, right.",,,
,2,P4,70.4, you feel the sweat right?,,,
,2,P6,4, electrical energy. What's it called that that kind of energy?,Talks about feeling electrical energy in their hands,“Felt electrical energy in their hands”,
,2,P6,13.2,"What's it called like soft movements? [gestures hand moving down arm from upper arm to hand] I've seen how how it was there... The way I did it,",They talk about “soft movements” from their upper arms to their hands,“Felt soft movements from upper arms to hands”,
,1,P1,53," but I was kind of surprised that like... that, like how close they got, and like towards the end, I was like... I don't know it. It just it just caught it caught me off guard, I guess.",They talk about feeling surprised,“Surprised by their behaviour”,“Awareness of how well the suggestion worked”
,1,P1,55," I knew that they were close, but I think I didn't realise they were that close.",,,
,1,P1,60," Like it. I wasn't... It was kind of like a... like a moment of like clarity of like ""Oh.""",They talk about a moment of clarity over experiencing the suggested effect,“A moment of clarity”,
,1,P1,61, Like I've just my my hands have just come together without me trying to.,,,
,1,P1,56, And then... I was like... I don't know. I guess that may. That might have like taken me out of it a bit by actually like feeling my hands touched.,They talk about reorientation of awareness away from the suggested effect,“Reorientated awareness”,
,1,P1,57, It might have... I don't know... taken me out of it a little bit.,,,
,1,P1,59," Erm, it was more like er... when, like my hands touched, I kind of... er... like became more aware of like me being in a study, I guess.",,,
,1,P1,63," Erm, almost a bit like... um... I don't know it. It was just more like a like unconscious",They talk about their mind being blank,“Blank mind”,“Unaware of thoughts and unaware of any imagination”
,1,P1,64," like I was just... like I had like a... like a blank mind,",,,
,1,P1,65," and I was just... I don't know. It's... It's it's hard to explain, because, like for me, it was like there was not much like going on in my mind.",,,
,1,P1,66," So I'm like, how do I describe that? Do you know what I mean?",,,
,1,P1,68," No, I I yeah, I don't know if it's um... I I normally, I don't tend to have a very like strong mental image, anyway. So I don't know if it's related to that. But yeah, I don't really have any mental images or anything.",The utterances talk about a general inability to see strong mental images,“Does not see images”,
,1,P4,73, Here is. It's an exercise of... sort of imagination and control. And you are... You need to be aware.,They talk about needing to be aware and in control,“Need to be aware and in control”,
,1,P4,74, So you let you. You. You can let yourself naturally go to a certain limit right?,,,
,1,P4,75," And so, where does the resistance come into that, then? Is that just stopping, going entirely...",,,
,1,P4,76, Yeah.,,,
,1,P4,65," Okay. So when you resisted, did you have a thought that told you should resist this in some way, or to feel how much they're moving, or how strong the force is? Or can you tell me more about the resistance side of things?",They talk about trying to resist the suggestion,“Resist the suggestion”,
,1,P4,66, Probably to not just go with the exercise... right.,,,
,1,P4,67," And trying to... put a distance about it, right.",,,
,1,P5,37, I think it would be possible. Yeah.,They talk about believing they could resist the suggestion,,
,1,P5,38, But I wasn't trying. So I'm quite sure.,They talk about not trying to resist the suggestion,,
,1,P4,68," If not, you will go with the with the instruction, and go... to a sort of a... a... an inner consciousness sort of space. Maybe?",They talk about concerns over “going with the suggestion”,“Not wanting to give up all volition”,“Going with the suggestion gives up some volition”
,1,P4,69," So you would let your... volition go with that, right.",,,
,1,P4,70," you would let yourself follow and go... and go, maybe into a different sort of dreamy stage.",,,
,1,P4,71," Right, like you know the guided exercise, they do like you're walking through forest and blah blah blah.",They talk about “needing” to let oneself go to fully embrace a suggestion,“Responding to suggestion requires some volition to be given up”,
,1,P4,72, You need to let yourself go.,,,
,2,P6,12," And did your hands look normal? You know, normal size, normal shape, normal colour, or were they different?",They talk about their hands looking similar to normal,“Hands look similar to normal”,
,2,P6,13.1," Not not with like extreme details, but... um... I've seen that.",,,
,2,P6,13.3,but then not not in extreme details.,,,
,3,P4,22, And... from lower I start sort of defining... which persons were around me... singing the happy birthday.,They talk about defining which people were singing,“Defining which people were singing”,
