IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Felt Effect,2,P7,5," I'll I'll play the game... and... give it as if it has a bit of stuckness. But not... it's not... it's not something. It's nothing. Yeah, it's it's like... tiny bit sticky",They talk about their fingers and hands feeling a little sticky,“Hands feel a little sticky”,
,2,P7,6," if they like maybe tie like maybe two finger pads are sweating so they... they they could be a bit sticky like that, but not.",,,
,2,P7,16.4,"and to certain extent, you know, there was a bit more.",,,
,2,P7,38.2, The the finger pad... not quite like really stuck one of of the image.,,,
