IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Felt Effect,1,P3,38," Well, I was just... like my hands felt more like they were being attracted like... there was. I don't know.",They talk about feeling their hands being attracted together,“Felt hands being attracted together”,“Felt hands being pulled together”
,1,P7,9," It pulled the hands, but it was like almost the result... of that force... that my hands felt. If that makes sense.",They talk about feeling their hands being pulled,“Felt their hands being pulled”,
,1,P7,18," I mean, you would only feel that kind of force in the real life when when you're holding a rubber band or something and it pulls you together.",,,
,1,P7,8, It's almost like... Must have been something that... made the hands move... and... maybe it wasn't the force that I felt.,They talk about not feeling the force they were imagining,“Didn’t feel the imagined force”,
,1,P7,11," It's all like, I... kind of felt a force more like my hands were, yeah, yeah, my hands are kind of gone by themselves, or even though I didn't feel the force between them. That was.",,,
,1,P3,4," I think they moved a little bit like, maybe like.",They talk about their hands moving a small amount,“Hands moved”,“Hands moved automatically”
,1,P3,15.2,My hands did move a bit as well.,,,
,1,P3,16," Okay, did they move similar amounts to as they did before?",,,
,1,P3,17," Yeah, I think so.",,,
,1,P3,39, Did it change how your hands felt at all?,,,
,1,P3,40, Um:: It just like they moved more when I when I was.,They talk about their hands moving more when they were imagining the force,“Hands moved more when imagining the force”,
,1,P7,13, It was natural for them to move... for them to move. I didn't make the move kind of intentionally.,They talk about the movement feeling automatic,“Movement felt automatic”,
,1,P7,14," They kind of just like... they They They answered the call of that force, and they moved.",,,
,1,P7,19, It's not something that you... or maybe when you're holding something. Yeah.,,,
,1,P7,26, i i i i didn't have the the the fear of missing the hands [reference to warm up exercise].,They talk about expecting their hands to touch and not miss,“Expected hands to touch”,
,1,P7,27.1," Kind of... trusted... you know, they're pulling each other.",,,
,1,P7,27.2,"And in fact, they... they started attracting together about halfway, so some of your instructions were already being...",They talk about their hands touching before the suggestion ended,“Hands touched”,“Hands merging”
,1,P7,29," So like you say, they're moving closer and closer, and I'm already here [gestures hands pressed together]. Then it's can just be like...",,,
,1,P7,28," I was just like trying to kind of squeeze them even more like, you know, to really merge into each other at that point. But... you know they've already touched each other.",They talk about trying to squeeze their hands to that they merge with each other,“Hands merging”,
,1,P7,31, I think for me specifically about like attaching and merging.,,,
,1,P7,32," It's more like of a whole body sensation that you experience occasionally when you're having like amazing sex with someone and you feel like your bodies start to like... you know, just kind of you lose the boundaries, and you and you just... merging.",,,
,1,P7,33," So when, when the hands were like touching, I was trying to... to create that sensation that the hands have literally kind of gone into each other when there's no... no boundaries anymore.",,,
,1,P7,34," So it it... the meaning of them getting closer together became like basically crossing that divide line and kind of... you know, effectively... erm",,,
